,Days,Open,High,Low,Close
0,1,0.8048641694626704,1.4347411450609135,1.63099308714335,2.143799404571709
1,2,2.2064538745075577,2.3891244588542175,2.5606117426824757,2.8656238779041283
2,3,3.0254189009888246,3.079434639740056,3.497827017869651,3.02407208411494
3,4,3.290866469205855,3.468187325292377,3.68129952933261,4.299100242251116
4,5,4.466181190424529,4.307227765769526,4.851420139108643,4.634483759025239
5,6,4.817472375809052,4.362548087665312,5.031466816065259,4.6833535461552644
6,7,5.359398864832054,5.135183004837479,5.491412480753613,5.614768080669125
7,8,5.7924910190374055,5.999637678723491,5.675847350608146,5.309618281998088
8,9,6.123429179450731,6.108836601912339,6.214900060304178,6.187840041021516
9,10,5.897509448978063,6.1625553694592945,6.910317756578659,6.794341780774612
10,11,6.463374009119886,6.688904571093212,7.116119524548019,6.859644908433589
11,12,7.3250922059165715,6.688427352003798,7.279725736750024,7.207025454030587
12,13,7.469182829552013,6.86340978570035,7.32770598809035,7.708053895052347
13,14,7.649552905648628,7.687047748429882,8.017985755907238,7.728344823807733
14,15,7.561525871595925,8.12540653309736,8.706938502203322,7.860854908547389
15,16,7.993412233397042,8.159603687920715,8.734350347171441,9.220272781651389
16,17,8.899777693295851,7.503531743425908,9.80507738625145,9.179056714845771
17,18,8.81643520834979,7.4434723221953245,8.231232800109536,7.7204687204135825
18,19,9.49728054005639,8.985407735205657,8.428743315918034,9.330860290411911
19,20,9.211947716037434,8.662251642354281,9.66936599662076,9.592782544706473
