,Days,Open,High,Low,Close
0,1,0.879384152171158,1.1886326900556028,1.3202765370203264,1.59977671180782
1,2,1.890346198424437,2.2189386061216,2.1161070903814356,2.3704476034007262
2,3,2.6057064220721657,2.3885133745674962,2.3483106367104543,2.9292346488020007
3,4,3.3292705022589115,3.1431758023436847,3.1921657517031514,3.0354669856278997
4,5,3.5820725528406596,3.231277792751053,4.0198183135761365,3.747088622433898
5,6,4.09429397306286,3.6933780134620333,4.032845075259456,4.165884193483723
6,7,4.487481707245282,4.520849220088713,4.765679928576198,4.700316215410043
7,8,4.384720407626005,4.367398427017007,4.618844918327674,4.869230991288383
8,9,4.609996740671757,4.5599953000578415,4.9335084516067695,5.011952748721335
9,10,5.601666318914962,4.951809680866656,5.395233562191776,5.203312251288332
10,11,5.377176469981032,5.375374567697401,6.3579986671764885,5.815347521296302
11,12,6.016476375678759,5.447945324574765,5.855461179308998,5.594498884614345
12,13,5.965519462491504,5.520572856022035,6.782353942317568,6.0115439432921205
13,14,6.240377681977234,6.411293851620409,6.124113808363835,6.72563220152386
14,15,6.619626891593278,6.411275175983653,6.281463528624845,6.258308086824782
15,16,6.43963176822994,7.110075074102087,6.476890297709518,7.387750647376736
16,17,7.882235937924635,7.187818240280308,7.399212176395604,7.012895355791318
17,18,7.814120885924465,6.942301417811686,7.8491701446123985,7.759156720893355
18,19,8.006087779819751,7.620756424789401,8.668041907719275,6.94219599665965
19,20,6.932391277432057,8.587314846255632,7.9822318848732285,8.672171773970557
