,Days,Open,High,Low,Close
0,1,0.5199151377773912,0.5909678511998516,0.9027997436809275,1.0238755985670185
1,2,1.1290036113565685,1.0479481168675924,1.4233244422299536,1.392845845017224
2,3,1.3381445613204457,1.4401258205735201,1.7028987739927866,1.5895161941338107
3,4,1.7831121118436093,1.8689285507785156,1.9687753023430257,2.1418569336305953
4,5,2.1524039095871035,1.923723728126419,2.158426571551013,2.213966615504782
5,6,2.2945246297631834,1.9937392541648513,2.4668341822745288,2.439423309089785
6,7,2.562346239091376,2.4413266487289804,2.8351605017514387,2.486569715676168
7,8,2.7198949496289804,2.610074537185818,2.953590517427508,2.972752955391627
8,9,2.8983913045333685,2.6722440768237385,3.2112882157898848,2.917924878150046
9,10,3.1669886283341833,2.8648844398480584,3.0051683023416027,2.8679081583164603
10,11,3.402974631450006,2.9056632669433005,3.0988336491912123,2.8977248492788226
11,12,2.960648534159766,3.1870360613557103,3.5317224933648577,3.274974879223633
12,13,3.6198539862640544,3.3602352968881344,3.6983591285859707,3.355934001202718
13,14,3.431896372954213,3.4206203910158477,3.22160825034663,3.77166359479163
14,15,3.622782718120803,3.7469585091516793,4.0045446134317375,3.409809968831883
15,16,3.4473524133671436,3.5719668577794756,3.9094414511615647,4.017101644068171
16,17,4.026822947835053,3.7256676232444437,3.896324730487058,3.916058375813365
17,18,3.869476128350899,3.8508345500696115,4.19012536333946,3.959071320826595
18,19,3.9245861056514375,3.758499003413343,4.101001873787973,4.520641926652028
19,20,3.742942647842108,3.549255383697152,4.2879985421649245,4.361907353157814
