,Days,Open,High,Low,Close
0,1,0.6155535021196744,1.523947925887187,1.524182518229,2.1360824864929335
1,2,2.1637364500659917,2.7433448973841728,2.6860569914192145,3.1883525903433454
2,3,3.3022309123039615,3.416487903202286,3.7428412047915534,3.925589565692551
3,4,3.761692362933527,3.973901266804715,4.254263998642284,4.335045080021095
4,5,4.804807845998426,4.4631461404601565,5.028094877525078,5.386752104985118
5,6,5.086142339759964,5.626388692539526,5.7693149200875125,5.611518880758248
6,7,5.3742959115243005,5.884089073234076,6.05692212482006,6.281839729176517
7,8,6.454786072965422,6.9056452766661565,6.499123600428154,6.934822763500879
8,9,7.041008037578799,7.102870935534225,6.915612436321868,7.435543631231394
9,10,6.880179469561764,7.050800112131099,7.5721302871712,7.5936319457290775
10,11,7.702496261633543,8.152243354462806,7.645278531926051,8.433561662710996
11,12,8.239790941162072,8.40303557956972,7.992420762824227,7.882193163603053
12,13,8.998423897878858,7.83473178491659,9.188720148703112,8.553196227294803
13,14,8.515712331991546,9.278608278371106,8.77818053818038,9.338958466433894
14,15,8.322327254667233,9.013090629600773,10.434367010749364,9.946683194202272
15,16,8.998060900468674,9.174205012421313,9.790801100334544,9.578084286436898
16,17,9.357826701206248,9.177513568781032,8.776643971103873,9.750525101219015
17,18,10.2546037970603,9.722908052449023,10.169560539467485,10.758704820607333
18,19,11.378172504570763,11.616583022105814,10.484103156733758,9.965646301846768
19,20,10.169955307110211,10.747860848886996,11.037377226040663,10.405641929960339
