,Days,Open,High,Low,Close
0,1,1.3014074571156704,1.429719977565212,1.5763970352485304,1.6717748875517693
1,2,2.2922508635383343,2.1930387262099496,2.261324415451869,2.1852629102367414
2,3,2.6619793259484124,2.7717541555107803,2.6779254409936017,3.033689902500812
3,4,3.1983017397757236,3.1899174327087247,3.3980790209417817,3.122288113600016
4,5,3.672040975710677,3.1644005665547814,3.469092096921697,3.4715339575872988
5,6,3.714609263763046,3.752640862252834,3.753659315358232,3.8672193220419584
6,7,4.012392127269916,3.954224434189712,4.3128020687266755,4.240179202225997
7,8,4.531129869879838,3.960691924644762,4.283851083406913,4.336043812748194
8,9,4.494180939874381,4.372370662663152,4.630575288862094,4.4396888359065825
9,10,4.610556849804494,4.367879433629179,4.85176344670817,4.671012554722995
10,11,4.528206166847949,4.514149568619108,4.920650291445407,4.972856617667735
11,12,4.99347730352361,4.857705549629951,4.917955447965809,5.185699566223503
12,13,5.284014629911235,5.1759073171981775,5.455884976977292,5.385881197668395
13,14,5.267309401855458,4.749860513476396,5.223853135179066,5.661687926231184
14,15,5.485816101307875,5.388825800125708,5.387724695491986,5.232693998024607
15,16,5.830168367498947,5.476745197632208,5.319023507364971,5.5668547715924905
16,17,5.312194407522233,5.856000467413888,5.807569981119029,6.104493908240846
17,18,6.033605775621722,6.243289685585304,6.321043452988345,6.375653138529478
18,19,5.634592420002207,6.346319959957797,6.431958202508344,6.511663282217958
19,20,6.9906792762550545,6.7429738064298865,6.973758780331026,6.538957585864534
