,Days,Open,High,Low,Close
0,1,0.6368408812567778,0.7642551841102078,0.7847784102392165,0.9178486206066225
1,2,1.2588291041327715,1.1331766135665895,1.401006204575717,1.4258875299750775
2,3,1.5975018348295162,1.7082368153857959,1.8531722872294478,1.6978885384005074
3,4,1.718193234882992,1.7498974785626005,2.129220812271042,2.03038227525948
4,5,2.112011183250146,1.9721205750750004,2.2047120269072544,2.2340785215622794
5,6,2.2762280802832744,2.1572268059153887,2.4488276208967994,2.4570801196713132
6,7,2.5901608489212933,2.6380098672444827,2.7176801492762213,2.780016057883658
7,8,2.7215458358606655,2.6598564362372774,2.9502034278696128,2.7747529538552045
8,9,2.7068235701360166,2.751753587864366,3.137532122569039,3.166787448848637
9,10,3.290122575847808,2.968540164469365,3.416971700874447,3.137873446692355
10,11,3.0389742834903783,3.150724384134818,3.1124052812133853,3.238910561007481
11,12,3.878007873561371,3.1863134002131335,3.3522694790392893,3.480966020956289
12,13,3.512131775565749,3.1435543910899946,3.2880339150754123,3.4411217810838775
13,14,3.673751652969051,3.163110309902028,3.476220803488796,3.8042485270212527
14,15,3.858141582471418,3.7515780701043693,3.3870010289299564,3.647397304534751
15,16,3.6827773468134897,3.644032196809607,3.8440790376710923,3.755743737425397
16,17,4.189299450938353,4.070560885102592,4.423776730578563,4.256342034579614
17,18,4.049434485994843,4.217668484739892,3.967561516982218,4.181225641860801
18,19,3.8341374960881476,4.132574144397631,4.582933567500381,4.273382227010645
19,20,4.130364900103887,4.178871926307718,4.037823787375752,4.39372025542496
